seller,offerType,price,abtest,vehicleType,yearOfRegistration,gearbox,powerPS,model,kilometer,monthOfRegistration,fuelType,brand,notRepairedDamage
private,offer,4450,test,limousine,2003,manual,150,3er,150000,3,diesel,bmw,no
private,offer,13299,control,suv,2005,manual,163,xc_reihe,150000,6,diesel,volvo,no
private,offer,3200,test,bus,2003,manual,101,touran,150000,11,diesel,volkswagen,no
private,offer,4500,control,small car,2006,manual,86,ibiza,60000,12,petrol,seat,no
private,offer,18750,test,suv,2008,automatic,185,xc_reihe,150000,11,diesel,volvo,no
private,offer,988,test,limousine,1995,manual,90,passat,150000,2,petrol,volkswagen,no
private,offer,1399,test,coupe,1997,manual,136,clk,150000,11,petrol,mercedes_benz,no
private,offer,4680,test,station wagon,2005,manual,122,vectra,150000,12,petrol,opel,no
private,offer,8340,test,limousine,2005,automatic,140,octavia,125000,4,diesel,skoda,no
private,offer,1870,control,limousine,2001,manual,82,a_klasse,150000,1,petrol,mercedes_benz,no
private,offer,2500,test,coupe,2001,manual,105,astra,125000,4,petrol,opel,no
private,offer,990,test,small car,2001,manual,68,yaris,150000,9,petrol,toyota,no
private,offer,3000,test,limousine,2016,manual,116,3er,150000,0,petrol,bmw,yes
private,offer,2200,control,limousine,2003,manual,83,meriva,125000,5,petrol,opel,no
private,offer,1600,test,station wagon,1999,manual,140,golf,150000,3,diesel,volvo,no
private,offer,1300,test,suv,1993,manual,101,others,150000,10,diesel,nissan,yes
private,offer,4100,control,others,2002,manual,125,golf,150000,8,diesel,sonstige_autos,no
private,offer,600,control,small car,1998,manual,75,golf,150000,0,petrol,volkswagen,yes
private,offer,680,test,limousine,1992,manual,88,3_reihe,150000,9,petrol,mazda,no
private,offer,1199,test,limousine,1998,manual,96,carisma,5000,0,petrol,mitsubishi,no
private,offer,1599,control,cabrio,1995,manual,75,golf,150000,4,petrol,volkswagen,no
private,offer,1000,test,small car,1996,manual,75,golf,150000,3,petrol,volkswagen,no
private,offer,1100,test,limousine,1999,manual,75,colt,150000,3,petrol,mitsubishi,no
private,offer,3999,test,cabrio,1991,manual,133,80,150000,6,petrol,audi,no
private,offer,1290,control,small car,2003,manual,60,panda,150000,12,petrol,fiat,no
private,offer,3900,control,cabrio,2006,manual,88,micra,125000,3,petrol,nissan,no
private,offer,700,test,station wagon,2000,manual,155,156,150000,9,petrol,alfa_romeo,yes
private,offer,2250,control,station wagon,2005,manual,175,others,125000,8,petrol,saab,yes
