seller,offerType,price,abtest,vehicleType,gearbox,powerPS,model,kilometer,fuelType,brand,notRepairedDamage,Age
private,offer,4450,test,limousine,manual,150,3er,150000,diesel,bmw,no,15.25
private,offer,13299,control,suv,manual,163,xc_reihe,150000,diesel,volvo,no,13.5
private,offer,3200,test,bus,manual,101,touran,150000,diesel,volkswagen,no,15.92
private,offer,4500,control,small car,manual,86,ibiza,60000,petrol,seat,no,13.0
private,offer,18750,test,suv,automatic,185,xc_reihe,150000,diesel,volvo,no,10.92
private,offer,988,test,limousine,manual,90,passat,150000,petrol,volkswagen,no,23.17
private,offer,1399,test,coupe,manual,136,clk,150000,petrol,mercedes_benz,no,21.92
private,offer,4680,test,station wagon,manual,122,vectra,150000,petrol,opel,no,14.0
private,offer,8340,test,limousine,automatic,140,octavia,125000,diesel,skoda,no,13.33
private,offer,1870,control,limousine,manual,82,a_klasse,150000,petrol,mercedes_benz,no,17.08
private,offer,2500,test,coupe,manual,105,astra,125000,petrol,opel,no,17.33
private,offer,990,test,small car,manual,68,yaris,150000,petrol,toyota,no,17.75
private,offer,3000,test,limousine,manual,116,3er,150000,petrol,bmw,yes,2.0
private,offer,2200,control,limousine,manual,83,meriva,125000,petrol,opel,no,15.42
private,offer,1600,test,station wagon,manual,140,golf,150000,diesel,volvo,no,19.25
private,offer,1300,test,suv,manual,101,others,150000,diesel,nissan,yes,25.83
private,offer,4100,control,others,manual,125,golf,150000,diesel,sonstige_autos,no,16.67
private,offer,600,control,small car,manual,75,golf,150000,petrol,volkswagen,yes,20.0
private,offer,680,test,limousine,manual,88,3_reihe,150000,petrol,mazda,no,26.75
private,offer,1199,test,limousine,manual,96,carisma,5000,petrol,mitsubishi,no,20.0
private,offer,1599,control,cabrio,manual,75,golf,150000,petrol,volkswagen,no,23.33
private,offer,1000,test,small car,manual,75,golf,150000,petrol,volkswagen,no,22.25
private,offer,1100,test,limousine,manual,75,colt,150000,petrol,mitsubishi,no,19.25
private,offer,3999,test,cabrio,manual,133,80,150000,petrol,audi,no,27.5
private,offer,1290,control,small car,manual,60,panda,150000,petrol,fiat,no,16.0
private,offer,3900,control,cabrio,manual,88,micra,125000,petrol,nissan,no,12.25
private,offer,700,test,station wagon,manual,155,156,150000,petrol,alfa_romeo,yes,18.75
private,offer,2250,control,station wagon,manual,175,others,125000,petrol,saab,yes,13.67
private,offer,7800,control,coupe,automatic,143,c_klasse,125000,petrol,mercedes_benz,no,12.25
private,offer,12250,control,limousine,manual,122,1er,50000,petrol,bmw,no,7.5
private,offer,3750,test,coupe,manual,150,3er,150000,petrol,bmw,no,18.33
private,offer,2800,test,small car,manual,87,yaris,80000,petrol,toyota,no,14.08
private,offer,950,control,limousine,manual,102,e_klasse,150000,diesel,mercedes_benz,no,19.08
private,offer,18990,control,limousine,automatic,156,c_klasse,80000,petrol,mercedes_benz,no,9.75
private,offer,9300,test,coupe,manual,63,golf,125000,petrol,opel,no,39.42
private,offer,2400,control,limousine,manual,105,golf,150000,petrol,volkswagen,no,15.33
private,offer,1500,control,small car,manual,75,3_reihe,150000,petrol,peugeot,no,19.75
private,offer,4599,control,limousine,manual,193,3er,150000,petrol,bmw,no,20.42
private,offer,19000,control,suv,automatic,152,freelander,90000,diesel,land_rover,no,8.42
private,offer,475,test,small car,manual,50,polo,150000,petrol,volkswagen,no,22.58
private,offer,3400,test,station wagon,automatic,163,a4,150000,diesel,audi,no,16.92
private,offer,7000,control,limousine,manual,110,golf,100000,diesel,sonstige_autos,no,11.0
private,offer,550,test,limousine,manual,75,golf,150000,petrol,volkswagen,no,21.5
private,offer,17499,control,cabrio,manual,184,clk,60000,petrol,mercedes_benz,no,11.83
private,offer,6190,control,limousine,automatic,163,c_klasse,150000,petrol,mercedes_benz,no,14.67
private,offer,11300,test,limousine,manual,200,golf,90000,petrol,volkswagen,no,12.67
private,offer,17500,control,cabrio,automatic,160,golf,50000,petrol,volkswagen,no,7.67
private,offer,600,control,limousine,manual,136,e_klasse,150000,petrol,mercedes_benz,no,20.17
private,offer,850,control,small car,manual,60,golf,150000,petrol,peugeot,no,18.0
private,offer,2500,control,station wagon,manual,125,forester,150000,petrol,subaru,no,13.42
private,offer,6199,control,limousine,manual,116,cooper,90000,petrol,mini,no,2.0
private,offer,3500,test,station wagon,automatic,198,5er,150000,diesel,bmw,yes,16.83
private,offer,1350,test,limousine,manual,101,golf,150000,petrol,volkswagen,yes,19.33
private,offer,1950,control,station wagon,manual,75,golf,150000,petrol,volkswagen,no,16.75
private,offer,1400,test,limousine,manual,122,golf,150000,petrol,mercedes_benz,no,1.58
private,offer,2000,test,station wagon,manual,101,astra,150000,petrol,opel,no,20.0
private,offer,3700,control,limousine,manual,140,a_klasse,150000,diesel,mercedes_benz,no,2.83
private,offer,2200,test,coupe,manual,192,astra,150000,petrol,opel,no,17.17
private,offer,3499,control,coupe,manual,170,3er,150000,petrol,bmw,no,19.92
private,offer,4800,control,limousine,manual,102,golf,150000,petrol,volkswagen,no,12.92
private,offer,1350,test,bus,manual,128,others,150000,diesel,citroen,no,15.33
private,offer,15300,control,cabrio,manual,140,a3,125000,diesel,audi,no,8.5
private,offer,1150,test,station wagon,manual,90,passat,150000,petrol,volkswagen,no,27.33
private,offer,22800,test,suv,automatic,241,grand,150000,diesel,jeep,no,7.5
private,offer,2600,control,limousine,manual,90,golf,150000,petrol,volkswagen,no,1.58
private,offer,1550,test,bus,automatic,158,voyager,150000,petrol,chrysler,no,20.83
private,offer,2500,control,limousine,manual,64,polo,150000,petrol,volkswagen,no,15.33
private,offer,3150,control,limousine,manual,106,golf,150000,petrol,volkswagen,no,1.25
private,offer,9450,test,small car,manual,120,fiesta,50000,petrol,ford,no,8.75
private,offer,2550,test,small car,manual,88,clio,150000,petrol,renault,no,12.08
private,offer,11800,control,station wagon,automatic,140,a3,150000,diesel,audi,no,8.08
private,offer,3980,control,small car,manual,64,polo,150000,petrol,volkswagen,no,9.08
private,offer,4900,control,cabrio,automatic,193,slk,150000,petrol,mercedes_benz,no,21.67
private,offer,7300,control,small car,automatic,95,others,60000,petrol,alfa_romeo,no,9.83
private,offer,7400,control,cabrio,manual,150,astra,125000,diesel,opel,no,11.33
private,offer,3900,test,station wagon,manual,193,passat,150000,petrol,volkswagen,no,17.83
private,offer,1990,control,small car,manual,65,micra,125000,petrol,nissan,no,15.92
private,offer,500,test,limousine,manual,90,golf,150000,petrol,volkswagen,no,21.42
private,offer,8700,test,limousine,manual,110,golf,150000,diesel,volkswagen,no,2.67
private,offer,3900,test,station wagon,automatic,148,c_klasse,150000,petrol,mercedes_benz,no,15.92
private,offer,22900,control,cabrio,automatic,200,sl,150000,petrol,mercedes_benz,no,46.0
private,offer,5500,control,suv,manual,204,x_reihe,150000,diesel,bmw,no,14.33
private,offer,16000,test,suv,automatic,235,x_reihe,150000,diesel,bmw,no,11.58
private,offer,4600,test,small car,manual,76,twingo,20000,petrol,renault,yes,9.17
private,offer,1200,control,limousine,manual,136,c_klasse,100000,petrol,mercedes_benz,no,24.25
private,offer,7000,control,limousine,automatic,150,3er,150000,diesel,bmw,no,14.75
private,offer,15000,test,station wagon,manual,143,3er,150000,diesel,bmw,no,10.42
private,offer,1590,control,small car,manual,60,fabia,150000,petrol,skoda,no,17.75
private,offer,13999,control,station wagon,manual,184,3er,150000,diesel,bmw,no,8.75
private,offer,2200,test,coupe,manual,141,others,5000,petrol,mitsubishi,no,21.08
private,offer,4400,test,others,manual,104,logan,90000,petrol,dacia,no,9.33
private,offer,9000,test,cabrio,manual,69,500,30000,petrol,fiat,no,7.92
private,offer,450,test,small car,automatic,75,punto,150000,petrol,fiat,no,18.67
private,offer,1650,test,bus,manual,90,berlingo,150000,diesel,citroen,no,15.75
private,offer,6599,control,suv,automatic,218,others,150000,diesel,jeep,no,13.0
private,offer,7499,control,limousine,automatic,231,s_klasse,125000,petrol,mercedes_benz,no,21.58
private,offer,4000,control,coupe,manual,193,3er,150000,petrol,bmw,no,18.17
private,offer,3000,test,limousine,manual,131,passat,150000,diesel,volkswagen,no,16.17
private,offer,1799,test,small car,manual,60,2_reihe,150000,petrol,peugeot,no,19.17
private,offer,12950,test,bus,manual,175,galaxy,125000,diesel,ford,no,9.75
private,offer,33000,control,bus,manual,103,sharan,40000,diesel,volkswagen,no,5.75
private,offer,21500,control,limousine,automatic,231,c_klasse,70000,petrol,mercedes_benz,no,8.08
private,offer,1000,control,small car,manual,58,agila,150000,petrol,opel,no,15.75
private,offer,3500,test,bus,manual,116,touran,150000,petrol,volkswagen,no,15.75
private,offer,5490,test,limousine,automatic,105,golf,125000,diesel,volkswagen,no,12.42
private,offer,27950,control,limousine,automatic,231,e_klasse,150000,diesel,mercedes_benz,no,9.58
private,offer,3699,test,cabrio,manual,101,astra,125000,petrol,opel,no,15.0
private,offer,6200,test,suv,manual,136,captiva,150000,petrol,chevrolet,no,9.58
private,offer,1150,test,small car,manual,60,polo,150000,diesel,volkswagen,no,20.58
private,offer,4000,test,limousine,manual,140,passat,150000,diesel,volkswagen,no,11.83
private,offer,750,control,bus,automatic,139,scenic,125000,petrol,renault,no,19.75
private,offer,150,control,station wagon,manual,115,mondeo,150000,petrol,ford,yes,20.0
private,offer,3500,test,small car,manual,116,3er,150000,petrol,bmw,no,15.17
private,offer,7800,test,station wagon,manual,160,a3,80000,petrol,audi,yes,7.25
private,offer,1000,test,small car,manual,60,polo,150000,petrol,volkswagen,no,21.83
private,offer,3199,test,limousine,manual,69,fiesta,150000,petrol,ford,no,10.08
private,offer,100,control,station wagon,automatic,170,omega,150000,petrol,opel,yes,22.0
